iter	Passed	Remaining
625	55188	32971
626	55274	32882
627	55361	32793
628	55454	32708
629	55554	32627
630	55660	32549
631	55755	32465
632	55852	32382
633	55946	32297
634	56044	32214
635	56132	32126
636	56229	32042
637	56320	31956
638	56413	31870
639	56506	31785
640	56600	31699
641	56696	31615
642	56786	31528
643	56880	31443
644	56979	31360
645	57073	31275
646	57163	31188
647	57264	31106
648	57345	31014
649	57446	30932
650	57544	30849
651	57642	30766
652	57735	30680
653	57824	30592
654	57919	30507
655	58006	30418
656	58100	30332
657	58192	30245
658	58291	30163
659	58391	30080
660	58488	29996
661	58583	29911
662	58675	29824
663	58768	29738
664	58837	29640
665	58907	29542
666	58957	29434
667	59008	29327
668	59056	29219
669	59106	29111
670	59155	29004
671	59202	28896
672	59257	28792
673	59311	28687
674	59360	28580
675	59430	28484
676	59526	28400
677	59586	28299
678	59635	28192
679	59684	28086
680	59734	27981
681	59788	27877
682	59844	27775
683	59903	27674
684	59960	27573
685	60058	27490
686	60148	27404
687	60239	27317
688	60332	27232
689	60419	27145
690	60513	27060
691	60604	26974
692	60695	26888
693	60787	26802
694	60876	26715
695	60967	26629
696	61059	26543
697	61150	26457
698	61243	26372
699	61333	26285
700	61422	26198
701	61518	26114
702	61609	26028
703	61703	25943
704	61795	25857
705	61889	25772
706	61982	25687
707	62071	25599
708	62166	25515
709	62260	25430
710	62350	25343
711	62437	25255
712	62530	25170
713	62622	25084
714	62714	24998
715	62807	24912
716	62896	24825
717	62989	24739
718	63082	24653
719	63179	24569
720	63269	24482
721	63356	24394
722	63447	24308
723	63543	24223
724	63639	24139
725	63728	24051
726	63818	23964
727	63906	23877
728	64001	23792
729	64095	23706
730	64189	23620
731	64283	23535
732	64376	23449
733	64466	23362
734	64557	23275
735	64656	23192
736	64748	23105
737	64836	23017
738	64923	22929
739	65022	22845
740	65120	22761
741	65210	22674
742	65306	22589
743	65400	22503
744	65493	22417
745	65591	22332
746	65683	22246
747	65771	22158
748	65863	22071
749	65956	21985
750	66049	21899
751	66145	21813
752	66241	21728
753	66335	21642
754	66429	21556
755	66516	21468
756	66622	21386
757	66709	21297
758	66799	21210
759	66888	21122
760	66979	21035
761	67075	20950
762	67164	20862
763	67262	20777
764	67355	20690
765	67450	20605
766	67539	20517
767	67637	20432
768	67717	20341
769	67809	20254
770	67904	20168
771	68000	20083
772	68096	19997
773	68189	19910
774	68283	19824
775	68377	19737
776	68469	19650
777	68561	19563
778	68652	19476
779	68745	19389
780	68839	19303
781	68931	19216
782	69027	19130
783	69117	19042
784	69214	18956
785	69305	18869
786	69400	18783
787	69490	18695
788	69596	18611
789	69690	18525
790	69778	18436
791	69866	18348
792	69961	18262
793	70051	18174
794	70142	18087
795	70236	18000
796	70330	17913
797	70424	17826
798	70520	17740
799	70610	17652
800	70702	17565
801	70798	17478
802	70892	17392
803	70985	17304
804	71078	17217
805	71183	17133
806	71273	17045
807	71368	16958
808	71465	16872
809	71559	16785
810	71661	16700
811	71762	16614
812	71854	16527
813	71945	16439
814	72043	16353
815	72142	16267
816	72239	16180
817	72340	16095
818	72431	16007
819	72529	15921
820	72624	15834
821	72724	15748
822	72819	15661
823	72920	15575
824	73012	15487
825	73102	15399
826	73192	15311
827	73280	15222
828	73370	15134
829	73454	15044
830	73547	14957
831	73642	14870
832	73735	14782
833	73827	14694
834	73920	14607
835	74014	14519
836	74110	14432
837	74206	14345
838	74298	14257
839	74392	14169
840	74491	14083
841	74537	13986
842	74582	13890
843	74630	13794
844	74676	13697
845	74728	13603
846	74778	13507
847	74834	13413
848	74883	13318
849	74937	13224
850	75026	13136
851	75101	13045
852	75159	12952
853	75206	12857
854	75255	12762
855	75306	12668
856	75368	12576
857	75422	12482
858	75472	12388
859	75558	12300
860	75648	12212
861	75739	12125
862	75829	12037
863	75925	11951
864	76018	11864
865	76103	11775
866	76200	11689
867	76297	11602
868	76392	11516
869	76482	11428
870	76569	11340
871	76661	11253
872	76761	11166
873	76853	11079
874	76948	10992
